Source,Target,Type,Id,Label,timeset,Weight
606935,11995332,Directed,1,,,1
606935,27835117,Directed,2,,,1
606935,31918619,Directed,3,,,1
606935,48920357,Directed,4,,,1
606935,58591324,Directed,5,,,1
606935,123135073,Directed,6,,,1
606935,129418433,Directed,7,,,1
606935,147738745,Directed,8,,,1
606935,163604438,Directed,9,,,1
606935,223965224,Directed,10,,,1
1687066,1895348,Directed,11,,,1
1687066,27835117,Directed,12,,,1
1687066,58591324,Directed,13,,,1
1687066,123135073,Directed,14,,,1
1687066,169281899,Directed,15,,,1
1880860,72323949,Directed,16,,,1
1895348,1687066,Directed,17,,,1
1895348,27835117,Directed,18,,,1
1895348,58591324,Directed,19,,,1
1895348,87659298,Directed,20,,,1
3962774,7291997,Directed,21,,,1
3962774,12448810,Directed,22,,,1
3962774,13901621,Directed,23,,,1
3962774,29318531,Directed,24,,,1
3962774,30326447,Directed,25,,,1
3962774,36013631,Directed,26,,,1
3962774,49737902,Directed,27,,,1
3962774,51040071,Directed,28,,,1
3962774,63059154,Directed,29,,,1
3962774,100320105,Directed,30,,,1
3962774,135539293,Directed,31,,,1
3962774,145599925,Directed,32,,,1
3962774,182912631,Directed,33,,,1
3962774,200526015,Directed,34,,,1
4163556,8091161,Directed,35,,,1
4163556,10038725,Directed,36,,,1
4163556,11758244,Directed,37,,,1
4163556,13678754,Directed,38,,,1
4163556,22643458,Directed,39,,,1
4163556,27835117,Directed,40,,,1
4163556,57578133,Directed,41,,,1
4163556,87659298,Directed,42,,,1
4163556,117257470,Directed,43,,,1
4163556,169281899,Directed,44,,,1
4163556,321776160,Directed,45,,,1
7291997,3962774,Directed,46,,,1
7291997,8443582,Directed,47,,,1
7291997,13570592,Directed,48,,,1
7291997,15214765,Directed,49,,,1
7291997,49737902,Directed,50,,,1
7291997,63632030,Directed,51,,,1
7291997,100320105,Directed,52,,,1
8091161,4163556,Directed,53,,,1
8091161,11032809,Directed,54,,,1
8091161,13678754,Directed,55,,,1
8091161,22643458,Directed,56,,,1
8091161,24457357,Directed,57,,,1
8091161,27835117,Directed,58,,,1
8091161,29560623,Directed,59,,,1
8091161,31918619,Directed,60,,,1
8091161,47437047,Directed,61,,,1
8091161,48920357,Directed,62,,,1
8091161,57578133,Directed,63,,,1
8091161,58591324,Directed,64,,,1
8091161,87659298,Directed,65,,,1
8091161,103643300,Directed,66,,,1
8091161,112323601,Directed,67,,,1
8091161,123135073,Directed,68,,,1
8091161,147738745,Directed,69,,,1
8091161,163604438,Directed,70,,,1
8091161,223965224,Directed,71,,,1
8091161,321776160,Directed,72,,,1
8443582,7291997,Directed,73,,,1
8443582,12448810,Directed,74,,,1
8443582,13570592,Directed,75,,,1
8443582,13901621,Directed,76,,,1
8443582,19528233,Directed,77,,,1
8443582,24968494,Directed,78,,,1
8443582,29318531,Directed,79,,,1
8443582,49737902,Directed,80,,,1
8443582,54805716,Directed,81,,,1
8443582,63059154,Directed,82,,,1
8443582,100320105,Directed,83,,,1
